"firm","labeler_code"
"ASIO HOLDINGS",NA
"CHEPLAPHARM ARZNEIMITTEL GMBH",NA
"BIOMARIN PHARM","68135"
"LONG GROVE PHARMS","81298"
"JANSSEN R AND D","50458"
"VANDA PHARMS INC","43068"
"ALCON PHARMS LTD","00065"
"HIKMA","00054"
"AYTU","23594"
"VALEANT PHARMS INTL",NA
"EURAND PHARMA LTD",NA
"ALCON RES","00065"
"HELSINN HLTHCARE","69639"
"ACTELION","66215"
"ADALVO",NA
"HIKMA INTL PHARMS","00054"
"DORC",NA
"RILEY CONSUMER","82632"
"AUROBINDO PHARMA","59651"
"COLLEGIUM PHARM INC","24510"
"ALTATHERA PHARMS LLC","69724"
"BESINS HLTHCARE",NA
"ALPHARMA PHARMS",NA
"BAXTER HLTHCARE","00338"
"PERRIGO PHARMA INTL","00113"
"CONCORDIA PHARMS INC",NA
"ELI LILLY CO","00002"
"AUROBINDO PHARMA LTD","59651"
"AR HOLDING CO INC",NA
"KOWA CO","66869"
"PHARMAXIS EUROPE",NA
"MERIDIAN MEDCL","11704"
"ZYLA","69344"
"UNITED THERAP","00327"
"JOHNSON JOHNSON VISN","11084"
"JAVELIN PHARMS INC",NA
"GALT PHARMS","61825"
"THERAVANCE INC",NA
"ANGELINI PHARMA",NA
"SUMITOMO PHARMA AM","63402"
"ATHENA","71511"
"AMRING PHARMS",NA
"CIPLA","69097"
"PERSION",NA
"HERON THERAPS INC","47426"
"MALLINCKRODT HOSP","43825"
"GE HLTHCARE INC",NA
"PIRAMAL CRITICAL","24584"
"PIERREL","45146"
"LAB HRA PHARMA",NA
"SEBELA IRELAND LTD","54766"
"PLANO PHARMS",NA
"UPJOHN",NA
"NIH NCI DCTD",NA
"PACIRA PHARMS INC","65250"
"TWI PHARMS",NA
"TRIS PHARMA INC",NA
"SMITHKLINE BEECHAM",NA
"SENTYNL THERAPS INC","42358"
"HORIZON","74683"
"FERRING PHARMS INC","55566"
"AQUESTIVE","10094"
"SPROUT PHARMS","58604"
"SUN PHARM","43136"
"LEGACY PHARMA","68645"
"VIOKACE",NA
"ALEXZA PHARMS",NA
"PHOTOCURE ASA","10511"
"BTCP PHARMA",NA
"MERZ PHARMS","00259"
"SHIRE HUMAN GENETIC",NA
"FRESENIUS MEDCL CARE","18124"
"PH HEALTH","12165"
"JUBILANT CADISTA","45548"
"OXFORD PHARMS","69584"
"AIPING PHARM INC","11788"
"HONG KONG",NA
"MPP PHARMA",NA
"PHARM ASSOC","43136"
"ACCELRX LABS",NA
"PRINSTON INC","76494"
"ANDA REPOSITORY",NA
"ZYDUS PHARMS USA","49315"
"PLIVA",NA
"NOVAST LABS","34908"
"DISCOVERY THERAP",NA
"TEVA PHARMS USA","00093"
"SUN PHARM INDS (IN)","43136"
"AMNEAL PHARM","00115"
"TP ANDA HOLDINGS",NA
"FOSUN PHARMA","72266"
