firm,ndc_firm_id
"ECI PHARMACEUTICALS, LLC",51293
"EXELA PHARMA SCIENCES, LLC",51754
"KYOWA KIRIN CO., LTD.",42747
"Quest Products, LLC",17433
"Emerald Therapeutics, Inc.",72919
GLAUKOS CORPORATION,25357
SpecGX LLC,00406
APTAPHARMA INC.,76281
"Xeris Pharmaceuticals, Inc.",72065
Currax Pharmaceuticals LLC,42847
"AVEO Pharmaceuticals, Inc.",45629
"Zhuhai Beihai Biotech Co., Ltd.",83513
"AltaThera Pharmaceuticals, LLC",69724
"Clutch, Inc.",74307
CorMedix Inc.,72990
"Collegium Pharmaceutical, Inc.",24510
BIOCODEX,68418
"Navinta, LLC",68475
"OPKO Pharmaceuticals, LLC",70301
"X4 Pharmaceuticals, Inc.",83296
"AMAG PHARMACEUTICALS, INC.",59338
"Evofem, Inc.",69751
MAYNE PHARMA LLC,50261
"Radius Health, Inc.",70539
"Marius Pharmaceuticals, Inc.",80603
Leadiant Biosciences SA,54482
"Melaleuca, Inc.",54473
"CROWN LABORATORIES, INC.",00316
"Eiger BioPharmaceuticals, Inc.",73079
"Encore Dermatology, Inc.",69482
QOL Medical LLC,67871
ITALFARMACO SPA,11797
"Eosera, Inc.",72429
BAUSCH & LOMB INCORPORATED,24208
STALLERGENES,59617
"ACHAOGEN, INC.",71045
Orasis Pharmaceuticals Ltd.,83661
"ULTRADENT PRODUCTS, INC.",51206
"Neostrata Company, Inc.",58414
"CV Sciences, Inc.",82026
Merz Pharmaceuticals GmbH,00259
AOP Orphan Pharmaceuticals AG,84381
LIFE MOLECULAR IMAGING SA,54828
RNA INC.,60717
KAMADA LTD.,49591
"Ohemo Life Sciences, Inc.",73780
SLAYBACK PHARMA LLC,71225
"TG Therapeutics, Inc.",73150
"AVANIR PHARMACEUTICALS, INC.",64597
"Hygieia, Inc.",80689
Verrica Pharmaceuticals Inc.,71349
"EPI HEALTH, LLC",71403
"Jazz Pharmaceuticals, Inc.",68727
"SATSUMA PHARMACEUTICALS, INC.",76978
"ROHTO PHARMACEUTICAL CO., LTD.",66613
"Forward Science Technologies, LLC",70275
ImClone LLC,66733
"ELEVATE ORAL CARE, LLC",57511
Hugel Inc.,81165
"Vyera Pharmaceuticals, LLC",69413
